"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","SQ_THREAD_CYCLES_VALU","SQ_ACTIVE_INST_VALU","SQ_WAVES","SQ_INSTS_VMEM_WR","SQ_INSTS_VMEM_RD","SQ_INSTS_LDS","SQ_INSTS_FLAT","SQ_INSTS_VALU","VALUUtilization","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"kernel",0,0,1,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,8177748,130050,51,2193,2397,2397,4590,104754,98,7103981209114860,7103981215087770,7103981215129850,7103981215141900,42080
1,"kernel",0,0,5,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409632,241337660,51,487560,23382684,44052065,23870244,216848684,69,7103981218899740,7103981219183476,7103981279002669,7103981279066539,59819193
2,"kernel",0,0,9,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409634,241337662,51,487560,23382684,44052067,23870244,216848686,69,7103981282299332,7103981282601401,7103981341842414,7103981341921864,59241013
3,"kernel",0,0,13,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409625,241337653,51,487560,23382684,44052058,23870244,216848677,69,7103981345138917,7103981345403789,7103981404651538,7103981404731209,59247749
4,"kernel",0,0,17,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409599,241337627,51,487560,23382684,44052032,23870244,216848651,69,7103981407905441,7103981408425137,7103981467649045,7103981467710395,59223908
5,"kernel",0,0,21,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409590,241337618,51,487560,23382684,44052023,23870244,216848642,69,7103981470880817,7103981471115931,7103981530387679,7103981530470059,59271748
6,"kernel",0,0,25,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409581,241337609,51,487560,23382684,44052014,23870244,216848633,69,7103981533662801,7103981533922688,7103981593161152,7103981593222872,59238464
7,"kernel",0,0,29,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409573,241337601,51,487560,23382684,44052006,23870244,216848625,69,7103981596536227,7103981596794087,7103981656071428,7103981656152868,59277341
8,"kernel",0,0,33,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409560,241337588,51,487560,23382684,44051993,23870244,216848612,69,7103981659404102,7103981659673850,7103981718960633,7103981719042534,59286783
9,"kernel",0,0,37,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409550,241337578,51,487560,23382684,44051983,23870244,216848602,69,7103981722252916,7103981722552303,7103981781808218,7103981781890419,59255915
10,"kernel",0,0,41,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10699910370,241471746,51,489753,23387325,44056458,23877078,216953088,69,7103981785081691,7103981785347108,7103981844633423,7103981844714783,59286315
11,"kernel",0,0,45,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409561,241337589,51,487560,23382684,44051994,23870244,216848613,69,7103981847894105,7103981848229226,7103981907496978,7103981907564978,59267752
12,"kernel",0,0,49,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409542,241337570,51,487560,23382684,44051975,23870244,216848594,69,7103981913633879,7103981913945227,7103981973482414,7103981973549155,59537187
13,"kernel",0,0,53,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409565,241337593,51,487560,23382684,44051998,23870244,216848617,69,7103981976693846,7103981976945931,7103982036200238,7103982036289308,59254307
14,"kernel",0,0,57,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409571,241337599,51,487560,23382684,44052004,23870244,216848623,69,7103982039526351,7103982039772490,7103982099053042,7103982099119033,59280552
15,"kernel",0,0,61,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409579,241337607,51,487560,23382684,44052012,23870244,216848631,69,7103982102309935,7103982102563077,7103982161802666,7103982161868266,59239589
16,"kernel",0,0,65,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409590,241337618,51,487560,23382684,44052023,23870244,216848642,69,7103982165036928,7103982165317233,7103982224565790,7103982224639270,59248557
17,"kernel",0,0,69,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409622,241337650,51,487560,23382684,44052055,23870244,216848674,69,7103982233576609,7103982233882900,7103982293743929,7103982293815379,59861029
18,"kernel",0,0,73,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409632,241337660,51,487560,23382684,44052065,23870244,216848684,69,7103982297158783,7103982297445501,7103982356683335,7103982356769085,59237834
19,"kernel",0,0,77,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409610,241337638,51,487560,23382684,44052043,23870244,216848662,69,7103982360059208,7103982360357791,7103982419599141,7103982419669141,59241350
20,"kernel",0,0,81,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10699910439,241471815,51,489753,23387325,44056527,23877078,216953157,69,7103982423038635,7103982423267026,7103982482558617,7103982482632757,59291591
21,"kernel",0,0,85,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409601,241337629,51,487560,23382684,44052034,23870244,216848653,69,7103982485839090,7103982486062373,7103982545320361,7103982545372241,59257988
22,"kernel",0,0,89,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409601,241337629,51,487560,23382684,44052034,23870244,216848653,69,7103982548575283,7103982548798776,7103982608076284,7103982608169305,59277508
23,"kernel",0,0,93,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409626,241337654,51,487560,23382684,44052059,23870244,216848678,69,7103982611502479,7103982611780418,7103982671063051,7103982671498516,59282633
24,"kernel",0,0,97,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409609,241337637,51,487560,23382684,44052042,23870244,216848661,69,7103982674384954,7103982674775215,7103982734031448,7103982734104438,59256233
25,"kernel",0,0,101,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409624,241337652,51,487560,23382684,44052057,23870244,216848676,69,7103982737341601,7103982737632714,7103982796875672,7103982796948542,59242958
26,"kernel",0,0,105,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409612,241337640,51,487560,23382684,44052045,23870244,216848664,69,7103982800118445,7103982800418743,7103982859660256,7103982859733136,59241513
27,"kernel",0,0,109,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409640,241337668,51,487560,23382684,44052073,23870244,216848692,69,7103982862961939,7103982863222304,7103982922463021,7103982922535861,59240717
28,"kernel",0,0,113,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409615,241337643,51,487560,23382684,44052048,23870244,216848667,69,7103982925769734,7103982926039498,7103982985307415,7103982985383235,59267917
29,"kernel",0,0,117,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409638,241337666,51,487560,23382684,44052071,23870244,216848690,69,7103982988583488,7103982988843956,7103983048111230,7103983048184700,59267274
30,"kernel",0,0,121,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10699910450,241471826,51,489753,23387325,44056538,23877078,216953168,69,7103983051385602,7103983051662238,7103983110986475,7103983111059405,59324237
31,"kernel",0,0,125,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409588,241337616,51,487560,23382684,44052021,23870244,216848640,69,7103983114268568,7103983114543815,7103983173804849,7103983173877969,59261034
32,"kernel",0,0,129,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409602,241337630,51,487560,23382684,44052035,23870244,216848654,69,7103983177095062,7103983177408898,7103983236644654,7103983236717884,59235756
33,"kernel",0,0,133,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409611,241337639,51,487560,23382684,44052044,23870244,216848663,69,7103983239891806,7103983240161394,7103983299421628,7103983299494558,59260234
34,"kernel",0,0,137,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409612,241337640,51,487560,23382684,44052045,23870244,216848664,69,7103983302703311,7103983302965207,7103983362224802,7103983362297702,59259595
35,"kernel",0,0,141,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409634,241337662,51,487560,23382684,44052067,23870244,216848686,69,7103983365538685,7103983365799939,7103983425083377,7103983425156067,59283438
36,"kernel",0,0,145,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409617,241337645,51,487560,23382684,44052050,23870244,216848669,69,7103983428331589,7103983428636435,7103983487888831,7103983487961521,59252396
37,"kernel",0,0,149,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409631,241337659,51,487560,23382684,44052064,23870244,216848683,69,7103983491151054,7103983491471929,7103983550718246,7103983550790796,59246317
38,"kernel",0,0,153,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409619,241337647,51,487560,23382684,44052052,23870244,216848671,69,7103983553970218,7103983554233142,7103983613459779,7103983613532369,59226637
39,"kernel",0,0,157,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409625,241337653,51,487560,23382684,44052058,23870244,216848677,69,7103983616750792,7103983617015640,7103983676277794,7103983676351154,59262154
40,"kernel",0,0,161,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10699910461,241471837,51,489753,23387325,44056549,23877078,216953179,69,7103983679565347,7103983679852345,7103983739158179,7103983739231129,59305834
41,"kernel",0,0,165,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409592,241337620,51,487560,23382684,44052025,23870244,216848644,69,7103983742563594,7103983742827230,7103983802123146,7103983802196066,59295916
42,"kernel",0,0,169,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409621,241337649,51,487560,23382684,44052054,23870244,216848673,69,7103983805422229,7103983805728736,7103983865030571,7103983865103221,59301835
43,"kernel",0,0,173,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409618,241337646,51,487560,23382684,44052051,23870244,216848670,69,7103983868336824,7103983868639492,7103983927886286,7103983927959486,59246794
44,"kernel",0,0,177,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409617,241337645,51,487560,23382684,44052050,23870244,216848669,69,7103983931178279,7103983931478956,7103983990764951,7103983990838232,59285995
45,"kernel",0,0,181,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409633,241337661,51,487560,23382684,44052066,23870244,216848685,69,7103983994043964,7103983994284549,7103984053517425,7103984053590655,59232876
46,"kernel",0,0,185,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409630,241337658,51,487560,23382684,44052063,23870244,216848682,69,7103984056773247,7103984057015865,7103984116256099,7103984116329239,59240234
47,"kernel",0,0,189,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409628,241337656,51,487560,23382684,44052061,23870244,216848680,69,7103984119560081,7103984119801106,7103984179097184,7103984179171224,59296078
48,"kernel",0,0,193,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409645,241337673,51,487560,23382684,44052078,23870244,216848697,69,7103984182518228,7103984182802824,7103984242084980,7103984242158060,59282156
49,"kernel",0,0,197,15249,15257,3264,64,12288,0,32,96,0,0x0,0x7f621b1f2780,10691409637,241337665,51,487560,23382684,44052070,23870244,216848689,69,7103984245405523,7103984245691289,7103984304986726,7103984305059576,59295437
